#,order_details_id,order_id,customer_id,employee_id,product_id,shipper_id,supplier_id,category_id
282,4,10249,81,6,14,1,6,7
283,405,10399,83,8,77,3,12,2
284,404,10399,83,8,76,3,23,1
285,403,10399,83,8,71,3,15,4
286,402,10399,83,8,68,3,8,3
287,320,10367,83,7,77,3,12,2
288,318,10367,83,7,54,3,25,6
289,319,10367,83,7,65,3,2,2
290,317,10367,83,7,34,3,16,1
291,231,10334,84,8,68,2,8,3
292,230,10334,84,8,52,2,24,5
293,72,10274,85,6,72,1,14,4
294,71,10274,85,6,71,1,15,4
295,289,10356,86,6,69,2,15,4
296,288,10356,86,6,55,2,25,6
297,144,10301,86,8,56,2,26,5
298,287,10356,86,6,31,2,14,4
299,143,10301,86,8,40,2,19,8
300,271,10348,86,4,23,2,9,5
301,270,10348,86,4,1,2,1,1
302,501,10437,87,8,53,1,24,6
303,449,10416,87,8,57,3,26,5
304,448,10416,87,8,53,3,24,6
305,229,10333,87,5,71,3,15,4
306,191,10320,87,5,71,3,15,4
307,447,10416,87,8,19,3,8,3
308,439,10412,87,8,14,2,6,7
309,228,10333,87,5,21,3,8,3
310,227,10333,87,5,14,3,6,7
311,59,10269,89,5,72,1,14,4
312,58,10269,89,5,33,1,15,4
313,260,10344,89,4,8,2,3,2
314,259,10344,89,4,4,2,2,2
315,3,10248,90,5,72,3,14,4
316,2,10248,90,5,42,3,20,5
317,1,10248,90,5,11,3,5,4
